GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,TicTacToe,0,GAME_OVER,5,4,2,2,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
879079583,TicTacToe,0,GAME_OVER,5,4,2,3,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-619666105,TicTacToe,0,GAME_OVER,5,4,2,4,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
503938916,TicTacToe,0,GAME_OVER,5,4,2,5,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-428737539,TicTacToe,0,GAME_OVER,5,4,2,6,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1745970416,TicTacToe,0,GAME_OVER,5,4,2,7,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1436161366,TicTacToe,0,GAME_OVER,5,4,2,8,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1151041315,TicTacToe,0,GAME_OVER,7,6,2,9,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
697067980,TicTacToe,0,GAME_OVER,5,4,2,10,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1168140970,TicTacToe,0,GAME_OVER,9,8,2,11,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1491060889,TicTacToe,0,GAME_OVER,5,4,2,12,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1819802610,TicTacToe,0,GAME_OVER,9,8,2,13,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-2121274456,TicTacToe,0,GAME_OVER,5,4,2,14,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
259280696,TicTacToe,0,GAME_OVER,5,4,2,15,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1706137030,TicTacToe,0,GAME_OVER,5,4,2,16,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
545138396,TicTacToe,0,GAME_OVER,5,4,2,17,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1376458976,TicTacToe,0,GAME_OVER,5,4,2,18,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1195311045,TicTacToe,0,GAME_OVER,5,4,2,19,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
813477029,TicTacToe,0,GAME_OVER,5,4,2,20,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1466178614,TicTacToe,0,GAME_OVER,7,6,2,21,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-118322159,TicTacToe,0,GAME_OVER,5,4,2,22,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
-1428166355,TicTacToe,0,GAME_OVER,5,4,2,23,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
1144294523,TicTacToe,0,GAME_OVER,5,4,2,24,BasicMCTS,-1.0,1.0,Random,2,BasicMCTS,2,1,1,Random,Random,BasicMCTS,0
